Artist Name and Link to Know My Name Exhibition Page,Collective/Individual,First Nations People Group (from Know My Name only),Place of Birth (First Nations Language),Place of Birth (Anglophone),State of Birth,Country of Birth,Place of Birth Latitude,Place of Birth Longitude,Year of Birth,Date of Birth,Place of Death (Indigenous),Place of Death (Anglophone),State of Death,Country of Death,Place of Death Latitude,Place of Death Longitude,Year of Death,Date of Death,Link to DAAO,In DAAO Selected Biographical Dataset,Link to AWR,Link to NLA,Multiple NLA,Missing NLA,,,
"MacSween, Valerie",Individual,Panaka People,,,TAS,Australia,-42.035067,146.6366887,1919,,,,TAS,Australia,,,1999,,https://www.daao.org.au/bio/valerie-macsween/,N,,https://trove.nla.gov.au/people/1556004,N,N,,,
"Maddison, Ruth",Individual,,Naarm,Melbourne,VIC,Australia,-37.8141705,144.9655616,1945,18/11/1945,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/ruth-maddison/,N,,https://trove.nla.gov.au/people/632988,N,N,,,
"Maddock, Bea",Individual,,Nipaluna,Hobart,TAS,Australia,-42.882393,147.3258481,1934,,Palanwina Luruni Kanamaluka,Launceston,TAS,Australia,-41.433389,147.13926291479868,2016,,https://www.daao.org.au/bio/bea-maddock/,Y,,https://trove.nla.gov.au/people/469751,N,N,,,
"Madigan, Rosemary",Individual,,Pattawilya,Glenelg,SA,Australia,-34.9803673,138.5143342,1926,5/12/1926,Yharr,Yass,NSW,Australia,-34.8418629,148.9110055,2019,12/2/2019,https://www.daao.org.au/bio/rosemary-wynnis-madigan/,Y,,https://trove.nla.gov.au/people/605935,N,N,,,
"Mahoney Griffin, Marion (Marion Lucy Mahony Griffin) (Marion Griffin)",Individual,,Shikaakwa Land,Maywood,Illinois,USA,41.8789942,-87.8436412,1871,14/02/1871,N/A,Chicago,Illinois,USA,41.8755616,-87.6244212,1961,10/8/1961,https://www.daao.org.au/bio/marion-griffin/,[Born pre-1900] Y,https://www.womenaustralia.info/biogs/AWE2103b.htm,https://trove.nla.gov.au/people/1182879,N,N,,,
"Mahood, Marguerite",Individual,,Quo-yung,Richmond,VIC,Australia,-37.8203955,145.0025153,1901,29/7/1901,Turrak,Toorak,VIC,Australia,-37.8416141,145.0176215,1989,14/10/1989,https://www.daao.org.au/bio/marguerite-henriette-mahood/,Y,,https://trove.nla.gov.au/people/459608,N,N,,,
"Mais, Hilarie",Individual,,N/A,Leeds,England,United Kingdom,53.7974185,-1.5437941,1952,,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/hilarie-mais/,Y,,https://trove.nla.gov.au/people/1486671,N,N,,,
"Makigawa, Carlier",Individual,,Wadjakboodjar,Perth,WA,Australia,-31.9558933,115.8605855,1952,,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/carlier-makigawa-1/,Y,,https://trove.nla.gov.au/people/506594,N,N,,,
"Marawili, Noŋgirrŋa",Individual,Madarrpa People,Baniyala,"Baniyala, Arnhem Land",NT,Australia,-19.488357,133.438712,1939,,Yirrkala,Yirrkala,NT,Australia,-12.2539194,136.8899744,2023,Oct-23,https://www.daao.org.au/bio/nongirrna-marawili/,N,,https://trove.nla.gov.au/people/1623846,N,N,,,
"Marika, Dr B. (Marmburra Wananumba Banduk Marika)",Individual,Rirratjinu People,Yirrkala,Yirrkala,NT,Australia,-12.2539194,136.8899744,1954,13/10/1954,,,,,,,2021,12/7/2021,https://www.daao.org.au/bio/banduk-marika/,N,https://www.womenaustralia.info/biogs/AWE1169b.htm,https://trove.nla.gov.au/people/471450,N,N,,,
"Marrinon, Linda",Individual,,Naarm,Melbourne,VIC,Australia,-37.8141705,144.9655616,1959,,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/linda-marrinon/,N,,https://trove.nla.gov.au/people/1516503,N,N,,,
"Marshall, Marion",Individual,,,,,,,,1948,,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/marion-marshall/,N,,https://trove.nla.gov.au/people/1531599,N,N,,,
"Martin, Mandy",Individual,,Tarntanya,Adelaide,SA,Australia,-34.9261502,138.6006231,1952,18/11/1952,Wiradjuri Land,Orange,NSW,Australia,-33.2820463,149.0971567,2021,10/7/2021,https://www.daao.org.au/bio/mandy-martin/,Y,,https://trove.nla.gov.au/people/601565,N,N,,,
"Matthews, Leslie",Individual,,Borinquen,,Puerto Rico,USA,18.2247706,-66.4858295,1964,,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),[Not in DAAO],[Not in DAAO],,[Not in NLA],N,Y,,,
"Maudsley, Helen",Individual,,Naarm,Melbourne,VIC,Australia,-37.8141705,144.9655616,1927,,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/helen-maudsley-1/,N,,https://trove.nla.gov.au/people/1804990,N,N,,,
"McGilchrist, Erica",Individual,,Berrin,Mt Gambier,SA,Australia,-37.8301386,140.7842627,1926,10/2/1926,Naarm,Melbourne,VIC,Australia,-37.8141705,144.9655616,2014,9/5/2014,https://www.daao.org.au/bio/erica-mcgilchrist/,Y,,https://trove.nla.gov.au/people/1475069,N,N,,,
"McKenzie, Queenie",Individual,,Gija Land,"Old Texas Station, East Kimberley",WA,Australia,-17,126,1915,,Warmun,Warmun,WA,Australia,-17.0290326,128.2120365,1998,,https://www.daao.org.au/bio/queenie-mckenzie/,Y,,"https://trove.nla.gov.au/people/1547166
https://trove.nla.gov.au/people/1523424",Y,N,,,
"McMahon, Marie",Individual,,Naarm,Melbourne,VIC,Australia,-37.8141705,144.9655616,1953,11/9/1963,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/marie-mcmahon-2/,Y,,https://trove.nla.gov.au/people/1481840,N,N,,,
"Mesiti, Angelica",Individual,,Gadigal Land,Sydney,NSW,Australia,-33.8679526,151.2101348,1976,,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/angelica-mesiti/,N,,https://trove.nla.gov.au/people/1517425,N,N,,,
"Messager, Annette",Individual,,N/A,Berck-sur-Mer,,France,50.4052576,1.5711617,1943,30/11/1943,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),[Not in DAAO],[Not in DAAO],,https://trove.nla.gov.au/people/1046109,N,N,,,
"Mestrom, Sanné",Individual,,N/A,Heerlen,,Netherlands,50.8876735,5.9773285,1979,,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/sanne-mestrom/,Y,,https://trove.nla.gov.au/people/1486537,N,N,,,
"Moffatt, Tracey",Individual,,Meanjin,Brisbane,QLD,Australia,-27.4689682,153.0234991,1960,12/11/1960,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/tracey-moffatt-2/,Y,https://www.womenaustralia.info/biogs/AWE1160b.htm,"https://trove.nla.gov.au/people/502270
https://trove.nla.gov.au/people/1516337",Y,N,,,
"Moje, Mascha",Individual,,,,,,,,1964,,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),[Not in DAAO],[Not in DAAO],,[Not in NLA],N,Y,,,
"Mora, Mirka",Individual,,N/A,Paris,,France,48.8588897,2.320041022,1928,18/3/1928,Naarm,Melbourne,VIC,Australia,-37.8141705,144.9655616,2018,27/8/2018,https://www.daao.org.au/bio/mirka-madeleine-mora/,Y,https://www.womenaustralia.info/biogs/AWE0298b.htm,https://trove.nla.gov.au/people/557842,N,N,,,
"Nakamarra, Doreen Reid",Individual,Pintupi People,Mummine,Mummine,WA,Australia,-25.98611,126.7894,1955,,Tarntanya,Adelaide,SA,Australia,-34.9261502,138.6006231426997,2009,20/10/2009,[Not in DAAO],[Not in DAAO],,https://trove.nla.gov.au/people/1864166,N,N,,,
"Napangardi, Dorothy",Individual,Pintupi/Warlpiri People,Mina Mina,Mina Mina,NT,Australia,-19.488357,133.438712,1956/1950,,,,,,,,2013,1/6/2013,https://www.daao.org.au/bio/dorothy-napangardi/,N,Possibly: https://www.womenaustralia.info/biogs/AWE1183b.htm,"https://trove.nla.gov.au/people/1482613
https://trove.nla.gov.au/people/1868350",Y,N,,,
Nell,Individual,,Wonnarua Land,Maitland,NSW,Australia,-32.708177,151.5268437,1975,,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/nell/,Y,,"https://trove.nla.gov.au/people/1879678
https://trove.nla.gov.au/people/1770844",Y,N,,,
"Nelson, Jan",Individual,,Naarm,Melbourne,VIC,Australia,-37.8141705,144.9655616,1955,15/1/1955,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/jan-nelson/,N,,"https://trove.nla.gov.au/people/1624858
https://trove.nla.gov.au/people/1032775",N,N,,,
"Newmarch, Ann",Individual,,Tarntanya,Adelaide,SA,Australia,-34.9261502,138.6006231,1945,9/6/1945,Tarntanya,Adelaide,SA,Australia,-34.9261502,138.6006231426997,2022,13/1/2022,https://www.daao.org.au/bio/ann-foster-newmarch/,Y,,"https://trove.nla.gov.au/people/1482883
https://trove.nla.gov.au/people/593624",Y,N,,,
"Nolan, Rose",Individual,,Naarm,Melbourne,VIC,Australia,-37.8141705,144.9655616,1959,,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/rose-nolan-1/,N,,https://trove.nla.gov.au/people/1523316,N,N,,,
"Norrie, Susan",Individual,,Gadigal Land,Sydney,NSW,Australia,-33.8679526,151.2101348,1953,,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/susan-norrie/,Y,,https://trove.nla.gov.au/people/601564,N,N,,,
"Nyadbi, Lena",Individual,Gija People,,Greenvale Station,QLD,Australia,-18.9746859,145.1120784,1936,,,,,,,,2024,7/7/2024,https://www.daao.org.au/bio/lena-nyadbi/,N,,https://trove.nla.gov.au/people/1553536,N,N,,,
"O'Callaghan, Mel",Individual,,Gadigal Land,Sydney,NSW,Australia,-33.8679526,151.2101348,1975,,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/mel-ocallaghan/,Y,,https://trove.nla.gov.au/people/1482104,N,N,,,
"O'Connor, Kathleen",Individual,,Hokitika,Hokitika,,New Zealand,-42.7178871,170.9646469,1876,14/09/1876,Boorloo,Perth,WA,Australia,-31.9558933,115.8605855,1968,24/8/1968,https://www.daao.org.au/bio/kathleen-oconnor-1/,[Born pre-1900] Y,https://www.womenaustralia.info/biogs/PR00779b.htm,https://trove.nla.gov.au/people/541895,N,N,,,
"O’Neil, Lillian",Individual,,Naarm,Melbourne,VIC,Australia,-37.8141705,144.9655616,1985,,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),,[Not in DAAO],,[Not in NLA],N,Y,,,
"O'Sullivan, Kate",Individual,,,,,,,,1947,,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),[Not in DAAO],[Not in DAAO],,https://trove.nla.gov.au/people/1678757,N,N,,,
"Okabe, Momo",Individual,,N/A,Tokyo,,Japan,35.6821936,139.762221,1981,,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),[Not in DAAO],[Not in DAAO],,[Not in NLA],N,Y,,,
"Oliver, Bronwyn",Individual,,Jukambal Land/Weraerai Land,Inverell,NSW,Australia,-29.7760646,151.1128767,1959,22/2/1959,Gadigal Land,Sydney,NSW,Australia,-33.8679526,151.2101348240446,2006,11/7/2006,https://www.daao.org.au/bio/bronwyn-oliver/,N,,"https://trove.nla.gov.au/people/1537342
https://trove.nla.gov.au/people/1692502",Y,N,,,
"Olley, Margaret",Individual,,Tuckurimbah,Lismore,NSW,Australia,-28.8077608,153.2791883,1923,24/6/1923,Gadigal Land,Sydney,NSW,Australia,-33.8679526,151.2101348240446,2011,26/7/2011,https://www.daao.org.au/bio/margaret-olley/,Y,https://www.womenaustralia.info/biogs/PR00468b.htm,[Not in NLA],N,Y,,,
"Ormella, Raquel",Individual,,Gadigal Land,Sydney,NSW,Australia,-33.8679526,151.2101348,1969,,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/raquel-ormella/,N,,https://trove.nla.gov.au/people/1599756,N,N,,,
"Orr, Jill",Individual,,Naarm,Melbourne,VIC,Australia,-37.8141705,144.9655616,1952,,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/jill-orr/,N,,https://trove.nla.gov.au/people/582290,N,N,,,
"Pachucka, Ewa",Individual,,N/A,Lublin,,Poland,51.250559,22.5701022,1936,17/2/1936,N/A,Auvergne-Rhone-Alpes,,France,45.283941,4.583177,2020,28/7/2020,https://www.daao.org.au/bio/ewa-pachuka/,Y,,https://trove.nla.gov.au/people/926417,N,N,,,
"Pardington, Fiona",Individual,"Ngāi Tahu, Kati Mamoe, and Ngā Kahungunu People",Te Hau Kapua,Devonport,,New Zealand,-36.8297309,174.7975377,1961,,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),[Not in DAAO],[Not in DAAO],,https://trove.nla.gov.au/people/1505493,N,N,,,
"Pate, Klytie",Individual,,Naarm,Melbourne,VIC,Australia,-37.8141705,144.9655616,1912,20/10/1912,Pur-ra-ran,Prahran,VIC,Australia,-37.8519135,145.0005993,2010,10/6/2010,https://www.daao.org.au/bio/klytie-plate/,Y,,https://trove.nla.gov.au/people/613639,N,N,,,
"Perry, Adelaide",Individual,,Barrmutha,Beechworth,VIC,Australia,-36.3594929,146.687012,1891,23/06/1891,Moocooboola,Hunter's Hill,NSW,Australia,-31.88835,151.16392,1973,19/11/1973,https://www.daao.org.au/bio/adelaide-perry/,[Born pre-1900] N,,https://trove.nla.gov.au/people/615700,N,N,,,
"Petyarre, Myrtle",Individual,Anmatyerre People,Atnangkere,"Utopia Station, Alhalkere",NT,Australia,-22.23333,134.55,1932,,,,,,,,2014,,https://www.daao.org.au/bio/myrtle-petyarre/,N,,https://trove.nla.gov.au/people/1860897,N,N,,,
"Phillips, Debra",Individual,,Naarm,Melbourne,VIC,Australia,-37.8141705,144.9655616,1958,,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/debra-phillips/,Y,,https://trove.nla.gov.au/people/477812,N,N,,,
"Piccinini, Patricia",Individual,,N/A,Freetown,,Sierra Leone,8.479004,-13.26795,1965,,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/patricia-piccinini/,N,,https://trove.nla.gov.au/people/902617,N,N,,,
"Piggott, Rosslynd",Individual,,Monmar,Frankston,VIC,Australia,-38.1444729,145.1268808,1958,6/7/1958,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/rosslynd-piggott/,N,,https://trove.nla.gov.au/people/482793,N,N,,,
"Poliness, Kerrie",Individual,,Naarm,Melbourne,VIC,Australia,-37.8141705,144.9655616,1962,,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/kerrie-poliness/,N,,https://trove.nla.gov.au/people/1516738,N,N,,,
"Preston, Margaret",Individual,,Yartapuulti,Port Adelaide,SA,Australia,-34.8342755,138.5123548,1875,29/04/1875,Borogegal Land,Mosman,NSW,Australia,-33.8301355,151.2447663,1963,28/5/1963,https://www.daao.org.au/bio/margaret-preston/,[Born pre-1900] Y,https://www.womenaustralia.info/biogs/AWE0257b.htm,https://trove.nla.gov.au/people/481573,N,N,,,
"Proctor, Thea",Individual,,Anaiwan Land,Armidale,NSW,Australia,-30.5144881,151.6656564,1879,02/10/1879,Derawun,Potts Point,NSW,Australia,-33.8670797,151.2259967,1966,29/7/1966,https://www.daao.org.au/bio/thea-proctor/,[Born pre-1900] Y,,https://trove.nla.gov.au/people/616991,N,N,,,
"Pwerle, Angelina",Individual,Alyawarre/Anmatyerre People,,"Utopia Station, Alhalkere",NT,Australia,-22.23333,134.55,1946 or 1952 or 1947 or 1939,,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/nga-angelina-nala-pwerle/,Y,,https://trove.nla.gov.au/people/1812568,N,N,,,
"Pwerle, Jeanie",Individual,Alyawarre/Anmatyerre People,,"Utopia Station, Alhalkere",NT,Australia,-22.23333,134.55,1965,15/5/1965,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/jeanie-pwerle/,N,,https://trove.nla.gov.au/people/1879679,N,N,,,
"Quaill, Avril",Individual,,Meanjin,Brisbane,QLD,Australia,-27.4689682,153.0234991,1958,,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/avril-quaill/,Y,,"https://trove.nla.gov.au/people/563844
https://trove.nla.gov.au/people/554705",Y,N,,,
r e a,Individual,Gamilaraay/Wailwan/Biripi People,Wiradjuri Land,Coonabarabran,NSW,Australia,-31.2728076,149.2733225,1962,,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/rea/,N,,"https://trove.nla.gov.au/people/643687
https://trove.nla.gov.au/people/1770615
https://trove.nla.gov.au/people/1871799",Y,N,,,
"Rae, Jude",Individual,,Gadigal Land,Sydney,NSW,Australia,-33.8679526,151.2101348,1956,,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/jude-rae/,Y,,https://trove.nla.gov.au/people/1481884,N,N,,,
"Rainer, Gillian",Individual,,,,,,,,1956,,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),[Not in DAAO],[Not in DAAO],,[Not in NLA],N,Y,,,
"Rarru, Margaret",Individual,Liyagawumirr-Garrawurra People,Galiwin'ku,Elcho Island,NT,Australia,-11.9136184,135.802244,1940,29/1/1940,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),[Not in DAAO],[Not in DAAO],,[Not in NLA],N,Y,,,
"Redgate, Jacky",Individual,,N/A,Hammersmith,England,United Kingdom,51.4920377,-0.2236401,1955,24/4/1955,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/jacky-redgate/,Y,,https://trove.nla.gov.au/people/480461,N,N,,,
"Ridgewell, Brenda",Individual,,Manjimup,Manjimup,WA,Australia,-34.2410278,116.1462983,1948,,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),[Not in DAAO],[Not in DAAO],,[Not in NLA],N,Y,,,
"Rix Nicholas, Hilda",Individual,,Ballaarat,Ballarat,VIC,Australia,-37.5623013,143.8605645,1884,1/09/1884,Deligat,Delegate,NSW,Australia,-37.043448,148.9395784,1961,3/8/1961,https://www.daao.org.au/bio/hilda-rix-nicholas/,[Born pre-1900] Y,https://www.womenaustralia.info/biogs/AWE6340b.htm,"https://trove.nla.gov.au/people/515366
https://trove.nla.gov.au/people/1464414",N,N,,,
"Robertshaw, Freda",Individual,,Gadigal Land,Sydney,NSW,Australia,-33.8679526,151.2101348,1916,16/11/1916,Gulumada,Blue Mountains,NSW,Australia,-33.63511425,150.43750366422518,1997,10/5/1997,https://www.daao.org.au/bio/freda-rhoda-robertshaw/,Y,,https://trove.nla.gov.au/people/1485450,N,N,,,
Romance Was Born (Anna Plunkett),Individual,,Bungambrawatha,Albury,NSW,Australia,-36.0804766,146.9162795,1982,,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/anna-plunkett/,N,,,,,,,
Romance Was Born (Collective),Collective,,,,,,,,2005,,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/group/biography/romance-was-born/,[Group] N,,https://trove.nla.gov.au/people/1525392,N,N,,,
"Ross, Joan",Individual,,N/A,Glasgow,Scotland,United Kingdom,55.861155,-4.2501687,1961,,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/joan-ross/,N,,"https://trove.nla.gov.au/people/1625325
https://trove.nla.gov.au/people/962030",Y,N,,,
"Rothwell, Caroline",Individual,,N/A,Hull,England,United Kingdom,53.7435722,-0.3394758,1967,,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),[Not in DAAO],[Not in DAAO],,[Not in NLA],N,Y,,,
"Rrap, Julie",Individual,,Tuckurimbah,Lismore,NSW,Australia,-28.8077608,153.2791883,1950,,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/julie-rrap/,Y,,https://trove.nla.gov.au/people/521467,N,N,,,
"Rudyard, Carol",Individual,,N/A,Sheffield,England,United Kingdom,53.3806626,-1.4702278,1922,18/11/1922,Whadjuk Noongar Land,Leederville,WA,Australia,-31.9330799,115.8414423,2021,15/5/2021,https://www.daao.org.au/bio/carol-rudyard/,N,https://www.womenaustralia.info/biogs/PR00793b.htm,https://trove.nla.gov.au/people/477205,N,N,,,
"Scarce, Yhonnie",Individual,Kokathu/Nukunu/Mirning People,,Woomera,SA,Australia,-31.1999142,136.8253532,1973,,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/yhonnie-scarce/,Y,,https://trove.nla.gov.au/people/1459791,N,N,,,
"Schneemann, Carolee",Individual,,Lenape Land,Fox Chase,PA,USA,40.0771601,-75.0771797,1939,12/10/1939,Esopus Land,New Paltz,NY,USA,41.7464972,-74.0844894,2019,6/3/2019,[Not in DAAO],[Not in DAAO],,https://trove.nla.gov.au/people/1109640,N,N,,,
"Schorr, Collier",Individual,,Lenape Land,New York City,NY,USA,40.7127281,-74.0060152,1963,,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),[Not in DAAO],[Not in DAAO],,[Not in NLA],N,Y,,,
"Sherman, Cindy",Individual,,Lenape Land,Glen Ridge,NJ,USA,40.805378,-74.2037566,1954,19/1/1954,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/cindy-sherman/,N,,https://trove.nla.gov.au/people/1140380,N,N,,,
"Smart, Sally",Individual,,Pithi Kawi,Quorn,SA,Australia,-32.3469384,138.0421184,1960,26/3/1960,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/sally-smart/,Y,,https://trove.nla.gov.au/people/556196,N,N,,,
"Smith, Gemma",Individual,,Gadigal Land,Sydney,NSW,Australia,-33.8679526,151.2101348,1978,,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/gemma-smith/,N,,https://trove.nla.gov.au/people/1501201,N,N,,,
"Spowers, Ethel",Individual,,Boonwurrung Land,South Yarra,VIC,Australia,-37.8377695,144.9918537,1890,11/7/1890,Naarm,East Melbourne,VIC,Australia,-37.812498,144.9858851,1947,5/5/1947,https://www.daao.org.au/bio/ethel-louise-spowers/,[Born pre-1900] Y,,https://trove.nla.gov.au/people/1468609,N,N,,,
"Sprinkle, Annie",Individual,,Lenape Land,Philadelphia,PA,USA,39.9527237,-75.1635262,1954,23/7/1954,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),[Not in DAAO],[Not in DAAO],,https://trove.nla.gov.au/people/1200295,N,N,,,
"Stacey, Robyn",Individual,,Meanjin,Brisbane,QLD,Australia,-27.4689682,153.0234991,1952,,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/robyn-stacey/,N,,https://trove.nla.gov.au/people/644072,N,N,,,
"Stannage, Miriam",Individual,,Ballardong Noongar Land,Northam,WA,Australia,-31.6535192,116.6726927,1939,20/3/1939,Wadjakboodjar,Perth,WA,Australia,-31.9558933,115.8605855,2016,11/9/2016,https://www.daao.org.au/bio/miriam-stannage/,N,https://www.womenaustralia.info/biogs/PR00789b.htm,https://trove.nla.gov.au/people/538592,N,N,,,
"Staunton, Madonna",Individual,,Murwillumbah,Murwillumbah,NSW,Australia,-28.3267617,153.3971541,1938,6/10/1938,Meanjin,Brisbane,QLD,Australia,-27.4689682,153.0234991,2019,16/12/2019,https://www.daao.org.au/bio/madonna-staunton/,N,,https://trove.nla.gov.au/people/1531627,N,N,,,
"Stokes, Constance",Individual,,Miram Piram,Miram Piram,VIC,Australia,-36.36667,141.35,1906,20/2/1906,Pur-ra-ran,Prahran,VIC,Australia,-37.8519135,145.0005993,1991,14/7/1991,https://www.daao.org.au/bio/constance-stokes/,Y,,https://trove.nla.gov.au/people/558007,N,N,,,
"Swann, Heather B.",Individual,,Nipaluna,Hobart,TAS,Australia,-42.882393,147.3258481,1961,,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),[Not in DAAO],[Not in DAAO],,https://trove.nla.gov.au/people/1520104,N,N,,,
"Tait, Bess Norriss",Individual,,Naarm,Melbourne,VIC,Australia,-37.8141705,144.9655616,1878,17/05/1878,N/A,London,England,United Kingdom,51.5074456,-0.1277653,1939,Jan-39,https://www.daao.org.au/bio/bess-norriss-tait/,[Born pre-1900] Y,,"https://trove.nla.gov.au/people/1487228
https://trove.nla.gov.au/people/1468693",Y,N,,,
"Teague, Violet",Individual,,Naarm,Melbourne,VIC,Australia,-37.8141705,144.9655616,1872,21/02/1872,Berringwallin,Mount Eliza,VIC,Australia,-38.1837759,145.0892789,1951,30/9/1951,https://www.daao.org.au/bio/violet-teague/,[Born pre-1900] Y,,https://trove.nla.gov.au/people/552986,N,N,,,
